name,prompt,negative_prompt
r003,"modern, tasty, attractive food photography of Smoky Tikka Beef Pasta Pot, beef mince, noodles (rice), bell pepper, mushroom, butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r013,"modern, tasty, attractive food photography of Sticky Garlic Herb Turkey Fuel Box, turkey mince, potatoes, onion, green beans, butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r014,"modern, tasty, attractive food photography of Sticky Buffalo Tofu Power Bowl, tofu, brown rice, sweet potato, sweet potato, sesame oil, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, vegan, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r016,"modern, tasty, attractive food photography of Loaded Lemon Pepper Salmon Fuel Box, salmon fillet, brown rice, carrot, spinach, cheddar cheese, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r017,"modern, tasty, attractive food photography of Golden Garlic Herb Tofu Protein Pot, tofu, brown rice, bell pepper, mushroom, cheddar cheese, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, vegan, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r019,"modern, tasty, attractive food photography of Crispy Mexican Spiced Tempeh Energy Bowl, tempeh, couscous, onion, broccoli, butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, vegan, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r026,"modern, tasty, attractive food photography of Smoky Korean BBQ Cod Pasta Pot, cod fillet, noodles (rice), bell pepper, tomato, olive oil, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r032,"modern, tasty, attractive food photography of Sticky Harissa Prawns Fuel Box, prawns, potatoes, mushroom, spinach, olive oil, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r042,"modern, tasty, attractive food photography of Epic Garlic Herb Tofu Macro Bowl, tofu, potatoes, broccoli, mushroom, olive oil, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, vegan, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r045,"modern, tasty, attractive food photography of Smoky Korean BBQ Beef Protein Pot, beef mince, couscous, spinach, courgette, cheddar cheese, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r050,"modern, tasty, attractive food photography of Golden Indian Spiced Tempeh Pasta Pot, tempeh, wholewheat pasta, sweet potato, mushroom, tahini, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, vegan, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r051,"modern, tasty, attractive food photography of Ultimate Satay Tuna (Canned) Pasta Pot, tuna (canned), noodles (rice), bell pepper, sweet potato, cheddar cheese, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r052,"modern, tasty, attractive food photography of Sizzling Sesame Ginger Beef Pasta Pot, beef mince, wholewheat pasta, courgette, carrot, peanut butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r056,"modern, tasty, attractive food photography of Fiery Sesame Ginger Beef Protein Pot, beef mince, brown rice, onion, broccoli, peanut butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r061,"modern, tasty, attractive food photography of Tangy Cajun Chicken Lift Pot, chicken breast, brown rice, sweet potato, spinach, cheddar cheese, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r063,"modern, tasty, attractive food photography of Spicy Tikka Tofu Protein Pot, tofu, potatoes, sweet potato, bell pepper, olive oil, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, vegan, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r068,"modern, tasty, attractive food photography of Supreme BBQ Tempeh Power Bowl, tempeh, couscous, broccoli, spinach, butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, vegan, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r070,"modern, tasty, attractive food photography of Zesty Honey Mustard Salmon Lift Pot, salmon fillet, potatoes, onion, tomato, butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r071,"modern, tasty, attractive food photography of Tangy Mexican Spiced Tuna (Canned) Lift Pot, tuna (canned), brown rice, onion, green beans, butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r074,"modern, tasty, attractive food photography of Loaded Thai Coconut Cod Lift Pot, cod fillet, brown rice, bell pepper, green beans, butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r077,"modern, tasty, attractive food photography of Golden Tikka Tuna (Canned) Lift Pot, tuna (canned), couscous, onion, sweet potato, yogurt, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r079,"modern, tasty, attractive food photography of Tangy Thai Coconut Tuna (Canned) Pasta Pot, tuna (canned), wholewheat pasta, tomato, mushroom, olive oil, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r080,"modern, tasty, attractive food photography of Creamy Satay Salmon Pasta Pot, salmon fillet, wholewheat pasta, spinach, tomato, tahini, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r081,"modern, tasty, attractive food photography of Ultimate Honey Mustard Beef Pasta Pot, beef mince, wholewheat pasta, mushroom, spinach, cheddar cheese, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
