ID,Name,Meal,Tags,Servings,Ingredients,Method,Calories_per_serving,Protein_g_per_serving,Carbs_g_per_serving,Fat_g_per_serving,Fibre_g_per_serving,Allergen_and_diet_notes
1,Sunrise Protein Porridge,Breakfast,Vgt GF optional P,2,80 g rolled oats;500 ml semi-skimmed milk;30 g vanilla whey protein powder;100 g mixed berries;30 g Greek yogurt;20 g pumpkin seeds,Heat milk to simmer;stir in oats and cook 4–5 minutes;remove from heat and whisk in protein powder;divide and top with berries yogurt and pumpkin seeds;serve warm,376.3,25.3,39.2,13.1,6.8,Contains dairy and whey; use gluten free oats for GF; use plant milk and plant protein for DF Vgn
2,Creamy Cottage Protein Bowl,Breakfast,Vgt P,2,200 g low-fat cottage cheese;15 ml honey;120 g banana sliced;20 g chia seeds;30 g chopped walnuts,Spoon cottage cheese into bowls;top with banana chia and walnuts;drizzle honey;serve chilled,350.0,28.0,22.4,18.0,6.5,Contains dairy and tree nuts; use dairy-free cottage cheese and omit nuts for DF NF
3,Herbed Tofu Morning Scramble,Breakfast,Vgn DF GF P,2,400 g firm tofu drained;15 ml olive oil;70 g onion chopped;120 g red pepper diced;60 g baby spinach;12 g nutritional yeast;0.5 tsp turmeric;0.5 tsp kala namak,Sauté onion and pepper 4–5 minutes;crumble tofu add spices and nutritional yeast;cook 6–8 minutes;stir in spinach until wilted;serve hot,220.1,20.1,8.0,12.2,3.6,Contains soy; suitable for vegan dairy-free and gluten-free diets
4,Nordic Smoked Salmon Breakfast Toast,Breakfast,P Halal optional,1,60 g smoked salmon;80 g wholegrain bread toasted;30 g low-fat cream cheese;5 ml lemon juice;4 g chopped dill;10 g capers,Toast bread spread cream cheese top with smoked salmon lemon juice dill and capers;serve immediately,380.0,28.5,28.0,14.0,2.1,Contains fish and dairy; use halal certified smoked salmon if required
5,Fluffy Protein Pancake Stack,Breakfast,Vgt P,2,120 g plain flour;30 g vanilla whey protein powder;8 g baking powder;12 g caster sugar;300 ml semi-skimmed milk;50 g egg equivalent;10 ml vegetable oil;100 g mixed berries;15 g maple syrup,Whisk dry ingredients;combine wet ingredients to batter;cook pancakes 2–3 minutes each side;stack and top with berries and maple syrup,420.0,24.2,52.0,12.5,3.8,Contains gluten dairy and egg; use plant milk and plant protein and egg replacer for Vgn
6,Layered Greek Yogurt Parfait,Breakfast,Vgt P,2,400 g Greek yogurt 0 percent;80 g granola;100 g mixed berries;20 g honey;20 g sliced almonds,Layer yogurt granola and berries in jars;drizzle honey and sprinkle almonds;serve chilled,310.0,28.0,34.0,7.5,3.9,Contains dairy and tree nuts; use dairy-free yogurt and nut-free granola for DF NF
7,Chickpea Savoury Omelette,Breakfast,Vgn GF P,2,120 g chickpea flour;300 ml water;15 ml olive oil;70 g onion chopped;1 garlic clove minced;1 tsp ground cumin;100 g cherry tomatoes halved;30 g spinach;salt and pepper,Whisk batter;sauté onion and garlic;pour batter cook until set flip and cook;add tomatoes and spinach;serve hot,280.0,18.5,30.0,9.0,6.7,Contains chickpea; naturally gluten-free; suitable for vegan and dairy-free diets
8,Ricotta Lemon Cloud Pancakes,Breakfast,Vgt P,2,150 g ricotta cheese;2 large eggs;40 g plain flour;12 g caster sugar;1 tsp lemon zest;10 ml vegetable oil;50 g blueberries,Whisk ricotta eggs flour sugar and lemon zest;cook small pancakes 2–3 minutes each side;serve topped with blueberries,360.0,22.0,28.5,16.0,1.8,Contains dairy and egg; use dairy-free ricotta and egg replacer for Vgn
9,Spinach Egg Power Wrap,Breakfast,P Halal optional,1,60 g wholemeal wrap;100 g scrambled eggs;30 g baby spinach wilted;30 g feta crumbled;5 ml olive oil;salt and pepper,Scramble eggs warm wrap layer with spinach eggs and feta roll and slice;serve warm,420.0,28.8,34.0,16.5,3.2,Contains egg and dairy; use halal certified eggs if required; omit feta for DF
10,Quinoa Sunrise Grain Bowl,Breakfast,Vgn GF P,2,150 g quinoa dry;300 ml water;100 g edamame shelled cooked;100 g cherry tomatoes halved;50 g avocado diced;30 g pumpkin seeds;15 ml lemon juice;15 ml olive oil,Rinse and cook quinoa 12–15 minutes;divide and top with edamame tomatoes avocado and pumpkin seeds;drizzle lemon and oil;serve,420.0,22.5,48.0,14.0,9.6,Contains soy; naturally gluten-free; suitable for vegan diets
11,Cottage Cheese Crunch Toast,Breakfast,Vgt P,1,80 g wholegrain bread toasted;100 g low-fat cottage cheese;120 g apple thinly sliced;15 g sunflower seeds;5 ml honey,Toast bread spread cottage cheese arrange apple slices sprinkle seeds and drizzle honey;serve immediately,320.0,26.5,34.0,8.5,4.6,Contains dairy and seeds; use dairy-free cottage cheese for DF
